country,experienced,acceptability,lat,lon
Afghanistan,50.8,73.20357143,33.9391,67.71
Angola,33.9,22.64,-8.838333,13.234444
Armenia,8.1,18.54642857,40.0691,45.0382
Azerbaijan,13.5,53.66071429,40.1431,47.5769
Bangladesh,53.3,27.81428571,23.685,90.3563
Benin,22.4,21.99,9.3077,2.3158
Burkina Faso,11.5,35.08,12.2383,-1.5616
Burundi,46.7,45.80666667,-3.3731,29.9189
Cambodia,18.2,35.96,12.5657,104.991
Cameroon,36.1,41.14333333,7.3697,12.3547
Chad,28.6,61.18,15.4542,18.7322
Colombia,37.4,4.646666667,4.5709,-74.2973
Comoros,6.4,27.75666667,-11.6455,43.3333
Congo Democratic Republic,50.7,66.4,-4.0383,21.7587
Cote d'Ivoire,25.9,43.12666667,7.54,-5.5471
Dominican Republic,20.4,3.403571429,18.7357,-70.1627
Egypt,25.6,36.51428571,26.8206,30.8025
Ethiopia,26.3,42.16666667,9.145,40.4897
Gabon,48.6,45.14666667,-0.8037,11.6094
Gambia,20.1,44.69666667,13.4432,-15.3101
Ghana,24.4,20.94333333,7.9465,-1.0232
Guatemala,18,9.113333333,15.7779,-90.2299
Haiti,23.5,13.42666667,18.9712,-72.2852
Honduras,21.6,11.34666667,15.2,-86.2419
India,28.7,38.89,20.5937,78.9629
Jordan,18.9,23.7,30.5852,36.2384
Kenya,39.4,39.58,-0.0236,37.9062
Kyrgyz Republic,25.4,41.28148148,41.2044,74.7661
Liberia,38.5,32.76666667,6.4281,-9.4295
Malawi,33.8,13.53333333,-13.2543,34.3015
Maldives,12.6,19.82333333,3.2028,73.2207
Mali,38.5,59.93,17.5707,-3.9962
Moldova,3.4,22.77037037,47.4116,28.3699
Mozambique,18.8,14.65,-18.6657,35.5296
Myanmar,16.3,49.97333333,21.9162,95.956
Namibia,25,26.15666667,-22.9576,18.4904
Nepal,24.3,26.54666667,28.3949,84.124
Nigeria,21.4,29.89666667,9.082,8.6753
Pakistan,23.7,38.65,30.3753,69.3451
Peru,37.2,4.04,-9.1952,-74.9904
Philippines,12.2,11.84666667,12.8797,121.774
Rwanda,34.4,27.8,-1.9403,29.8739
Sao Tome and Principe,27.9,20.99310345,0.1864,6.6131
Senegal,13.3,34.31333333,14.4974,-14.4524
Sierra Leone,51.7,46.34666667,8.4606,-11.7799
South Africa,15.8,7.520689655,-30.5595,22.9375
Tajikistan,25.7,61.65333333,38.861,71.2761
Tanzania,41.7,46.55,-6.369,34.8888
Timor-Leste,38.1,64.23666667,-8.8742,125.7275
Togo,22.1,23.00666667,8.6195,0.8248
Uganda,46.6,43.41333333,1.3733,32.2903
Ukraine,13.2,7.861538462,48.3794,31.1656
Zambia,40.2,38.16,-13.1339,27.8493
Zimbabwe,35.4,35.35666667,-19.0154,29.1549
