"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP01b","All Crime per 1000 population","51.19 Number","Rate","2013/2014","2013-04-01","2014-03-31","Monthly"
"CSP01b","All Crime per 1000 population","47.46 Number","Rate","2014/2015","2014-04-01","2015-03-31","Monthly"
"CSP01b","All Crime per 1000 population","50.93 Number","Rate","2015/2016","2015-04-01","2016-03-31","Monthly"
"CSP01b","All Crime per 1000 population","54.24 Number","Rate","2016/2017","2016-04-01","2017-03-31","Monthly"
"CSP01b","All Crime per 1000 population","13.92 Number","Rate","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"CSP01b","All Crime per 1000 population","4.84 Number","Rate","2016/2017_Apr","2016-04-01","2016-04-30","Monthly"
"CSP01b","All Crime per 1000 population","4.70 Number","Rate","2016/2017_May","2016-05-01","2016-05-31","Monthly"
"CSP01b","All Crime per 1000 population","4.55 Number","Rate","2016/2017_Jun","2016-06-01","2016-06-30","Monthly"
"CSP01b","All Crime per 1000 population","14.56 Number","Rate","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"CSP01b","All Crime per 1000 population","5.04 Number","Rate","2016/2017_Jul","2016-07-01","2016-07-31","Monthly"
"CSP01b","All Crime per 1000 population","5.17 Number","Rate","2016/2017_Aug","2016-08-01","2016-08-31","Monthly"
"CSP01b","All Crime per 1000 population","4.48 Number","Rate","2016/2017_Sep","2016-09-01","2016-09-30","Monthly"
"CSP01b","All Crime per 1000 population","12.99 Number","Rate","2016/2017_Q3","2016-10-01","2016-12-31","Monthly"
"CSP01b","All Crime per 1000 population","4.49 Number","Rate","2016/2017_Oct","2016-10-01","2016-10-31","Monthly"
"CSP01b","All Crime per 1000 population","4.27 Number","Rate","2016/2017_Nov","2016-11-01","2016-11-30","Monthly"
"CSP01b","All Crime per 1000 population","4.23 Number","Rate","2016/2017_Dec","2016-12-01","2016-12-31","Monthly"
"CSP01b","All Crime per 1000 population","12.77 Number","Rate","2016/2017_Q4","2017-01-01","2017-03-31","Monthly"
"CSP01b","All Crime per 1000 population","4.06 Number","Rate","2016/2017_Jan","2017-01-01","2017-01-31","Monthly"
"CSP01b","All Crime per 1000 population","4.06 Number","Rate","2016/2017_Feb","2017-02-01","2017-02-28","Monthly"
"CSP01b","All Crime per 1000 population","4.65 Number","Rate","2016/2017_Mar","2017-03-01","2017-03-31","Monthly"
"CSP01b","All Crime per 1000 population","4.90 Number","Rate","2017/2018_Apr","2017-04-01","2017-04-30","Monthly"
"CSP01b","All Crime per 1000 population","57.71 Number","Rate","2017/2018","2017-04-01","2018-03-31","Monthly"
"CSP01b","All Crime per 1000 population","14.52 Number","Rate","2017/2018_Q1","2017-04-01","2017-06-30","Monthly"
"CSP01b","All Crime per 1000 population","5.01 Number","Rate","2017/2018_May","2017-05-01","2017-05-31","Monthly"
"CSP01b","All Crime per 1000 population","4.61 Number","Rate","2017/2018_Jun","2017-06-01","2017-06-30","Monthly"
