"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP15","Overall Violence (Violence Against Person Def.)","219.00 Number","Number","2009/2010_Apr","2009-04-01","2009-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","2712.00 Number","Number","2009/2010","2009-04-01","2010-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","719.00 Number","Number","2009/2010_Q1","2009-04-01","2009-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","253.00 Number","Number","2009/2010_May","2009-05-01","2009-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","247.00 Number","Number","2009/2010_Jun","2009-06-01","2009-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","751.00 Number","Number","2009/2010_Q2","2009-07-01","2009-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","260.00 Number","Number","2009/2010_Jul","2009-07-01","2009-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","261.00 Number","Number","2009/2010_Aug","2009-08-01","2009-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","230.00 Number","Number","2009/2010_Sep","2009-09-01","2009-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","676.00 Number","Number","2009/2010_Q3","2009-10-01","2009-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","226.00 Number","Number","2009/2010_Oct","2009-10-01","2009-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","217.00 Number","Number","2009/2010_Nov","2009-11-01","2009-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","233.00 Number","Number","2009/2010_Dec","2009-12-01","2009-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","566.00 Number","Number","2009/2010_Q4","2010-01-01","2010-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","217.00 Number","Number","2009/2010_Jan","2010-01-01","2010-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","172.00 Number","Number","2009/2010_Feb","2010-02-01","2010-02-28","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","177.00 Number","Number","2009/2010_Mar","2010-03-01","2010-03-31","Monthly"
