"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","2840.00 Number","Number","2009/2010","2009-04-01","2010-03-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","253.00 Number","Number","2010/2011_Apr","2010-04-01","2010-04-30","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","2982.00 Number","Number","2010/2011","2010-04-01","2011-03-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","828.00 Number","Number","2010/2011_Q1","2010-04-01","2010-06-30","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","265.00 Number","Number","2010/2011_May","2010-05-01","2010-05-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","310.00 Number","Number","2010/2011_Jun","2010-06-01","2010-06-30","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","762.00 Number","Number","2010/2011_Q2","2010-07-01","2010-09-30","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","281.00 Number","Number","2010/2011_Jul","2010-07-01","2010-07-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","263.00 Number","Number","2010/2011_Aug","2010-08-01","2010-08-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","218.00 Number","Number","2010/2011_Sep","2010-09-01","2010-09-30","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","243.00 Number","Number","2010/2011_Oct","2010-10-01","2010-10-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","683.00 Number","Number","2010/2011_Q3","2010-10-01","2010-12-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","193.00 Number","Number","2010/2011_Nov","2010-11-01","2010-11-30","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","247.00 Number","Number","2010/2011_Dec","2010-12-01","2010-12-31","Monthly"
"CSP51","Number of Reports of Domestic Abuse Incidents reported to NYP (York only)","256.00 Number","Number","2010/2011_Jan","2011-01-01","2011-01-31","Monthly"
