"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","57.00 Number","Number","2011/2012_Apr","2011-04-01","2011-04-30","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","154.00 Number","Number","2011/2012_Q1","2011-04-01","2011-06-30","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","579.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","47.00 Number","Number","2011/2012_May","2011-05-01","2011-05-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","50.00 Number","Number","2011/2012_Jun","2011-06-01","2011-06-30","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","154.00 Number","Number","2011/2012_Q2","2011-07-01","2011-09-30","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","71.00 Number","Number","2011/2012_Jul","2011-07-01","2011-07-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","42.00 Number","Number","2011/2012_Aug","2011-08-01","2011-08-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","41.00 Number","Number","2011/2012_Sep","2011-09-01","2011-09-30","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","48.00 Number","Number","2011/2012_Oct","2011-10-01","2011-10-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","152.00 Number","Number","2011/2012_Q3","2011-10-01","2011-12-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","54.00 Number","Number","2011/2012_Nov","2011-11-01","2011-11-30","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","50.00 Number","Number","2011/2012_Dec","2011-12-01","2011-12-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","46.00 Number","Number","2011/2012_Jan","2012-01-01","2012-01-31","Monthly"
"DOMV5","Domestic Violence Occurrence Type - Crime Violence","119.00 Number","Number","2011/2012_Q4","2012-01-01","2012-03-31","Monthly"
