"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"DOMV7","Domestic Violence Occurrence Type - Other","24.00 Number","Number","2011/2012_Apr","2011-04-01","2011-04-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","70.00 Number","Number","2011/2012_Q1","2011-04-01","2011-06-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","278.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","23.00 Number","Number","2011/2012_May","2011-05-01","2011-05-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","23.00 Number","Number","2011/2012_Jun","2011-06-01","2011-06-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","88.00 Number","Number","2011/2012_Q2","2011-07-01","2011-09-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","28.00 Number","Number","2011/2012_Jul","2011-07-01","2011-07-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","31.00 Number","Number","2011/2012_Aug","2011-08-01","2011-08-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","29.00 Number","Number","2011/2012_Sep","2011-09-01","2011-09-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","31.00 Number","Number","2011/2012_Oct","2011-10-01","2011-10-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","67.00 Number","Number","2011/2012_Q3","2011-10-01","2011-12-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","21.00 Number","Number","2011/2012_Nov","2011-11-01","2011-11-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","15.00 Number","Number","2011/2012_Dec","2011-12-01","2011-12-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","18.00 Number","Number","2011/2012_Jan","2012-01-01","2012-01-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","53.00 Number","Number","2011/2012_Q4","2012-01-01","2012-03-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","16.00 Number","Number","2011/2012_Feb","2012-02-01","2012-02-29","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","19.00 Number","Number","2011/2012_Mar","2012-03-01","2012-03-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","94.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","30.00 Number","Number","2012/2013_Apr","2012-04-01","2012-04-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","312.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","38.00 Number","Number","2012/2013_May","2012-05-01","2012-05-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","26.00 Number","Number","2012/2013_Jun","2012-06-01","2012-06-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","76.00 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","24.00 Number","Number","2012/2013_Jul","2012-07-01","2012-07-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","33.00 Number","Number","2012/2013_Aug","2012-08-01","2012-08-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","19.00 Number","Number","2012/2013_Sep","2012-09-01","2012-09-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","68.00 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","26.00 Number","Number","2012/2013_Oct","2012-10-01","2012-10-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","21.00 Number","Number","2012/2013_Nov","2012-11-01","2012-11-30","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","21.00 Number","Number","2012/2013_Dec","2012-12-01","2012-12-31","Monthly"
"DOMV7","Domestic Violence Occurrence Type - Other","21.00 Number","Number","2012/2013_Jan","2013-01-01","2013-01-31","Monthly"
