"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","17.00 Number","Number","2011/2012_Apr","2011-04-01","2011-04-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","53.00 Number","Number","2011/2012_Q1","2011-04-01","2011-06-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","380.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","18.00 Number","Number","2011/2012_May","2011-05-01","2011-05-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","18.00 Number","Number","2011/2012_Jun","2011-06-01","2011-06-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","50.00 Number","Number","2011/2012_Q2","2011-07-01","2011-09-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","20.00 Number","Number","2011/2012_Jul","2011-07-01","2011-07-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","13.00 Number","Number","2011/2012_Aug","2011-08-01","2011-08-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","17.00 Number","Number","2011/2012_Sep","2011-09-01","2011-09-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","23.00 Number","Number","2011/2012_Oct","2011-10-01","2011-10-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","70.00 Number","Number","2011/2012_Q3","2011-10-01","2011-12-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","30.00 Number","Number","2011/2012_Nov","2011-11-01","2011-11-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","17.00 Number","Number","2011/2012_Dec","2011-12-01","2011-12-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","207.00 Number","Number","2011/2012_Q4","2012-01-01","2012-03-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","67.00 Number","Number","2011/2012_Jan","2012-01-01","2012-01-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","73.00 Number","Number","2011/2012_Feb","2012-02-01","2012-02-29","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","67.00 Number","Number","2011/2012_Mar","2012-03-01","2012-03-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","76.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","22.00 Number","Number","2012/2013_Apr","2012-04-01","2012-04-30","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","614.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","21.00 Number","Number","2012/2013_May","2012-05-01","2012-05-31","Monthly"
"DOMV8a","Domestic Violence Incidents Level - Standard Risk","33.00 Number","Number","2012/2013_Jun","2012-06-01","2012-06-30","Monthly"
