"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","15.00 Number","Number","2011/2012_Apr","2011-04-01","2011-04-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","36.00 Number","Number","2011/2012_Q1","2011-04-01","2011-06-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","278.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","9.00 Number","Number","2011/2012_May","2011-05-01","2011-05-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","12.00 Number","Number","2011/2012_Jun","2011-06-01","2011-06-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","50.00 Number","Number","2011/2012_Q2","2011-07-01","2011-09-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","16.00 Number","Number","2011/2012_Jul","2011-07-01","2011-07-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","13.00 Number","Number","2011/2012_Aug","2011-08-01","2011-08-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","21.00 Number","Number","2011/2012_Sep","2011-09-01","2011-09-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","18.00 Number","Number","2011/2012_Oct","2011-10-01","2011-10-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","58.00 Number","Number","2011/2012_Q3","2011-10-01","2011-12-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","13.00 Number","Number","2011/2012_Nov","2011-11-01","2011-11-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","27.00 Number","Number","2011/2012_Dec","2011-12-01","2011-12-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","134.00 Number","Number","2011/2012_Q4","2012-01-01","2012-03-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","52.00 Number","Number","2011/2012_Jan","2012-01-01","2012-01-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","36.00 Number","Number","2011/2012_Feb","2012-02-01","2012-02-29","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","46.00 Number","Number","2011/2012_Mar","2012-03-01","2012-03-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","79.00 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","31.00 Number","Number","2012/2013_Apr","2012-04-01","2012-04-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","463.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","26.00 Number","Number","2012/2013_May","2012-05-01","2012-05-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","22.00 Number","Number","2012/2013_Jun","2012-06-01","2012-06-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","91.00 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","33.00 Number","Number","2012/2013_Jul","2012-07-01","2012-07-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","37.00 Number","Number","2012/2013_Aug","2012-08-01","2012-08-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","21.00 Number","Number","2012/2013_Sep","2012-09-01","2012-09-30","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","153.00 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","46.00 Number","Number","2012/2013_Oct","2012-10-01","2012-10-31","Monthly"
"DOMV9a","Domestic Violence Incidents Level - Medium Risk","50.00 Number","Number","2012/2013_Nov","2012-11-01","2012-11-30","Monthly"
