"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2008/2009_Q1","2008-04-01","2008-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","3.00 Number","Percentage","2008/2009","2008-04-01","2009-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2008/2009_Q2","2008-07-01","2008-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2008/2009_Q3","2008-10-01","2008-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2008/2009_Q4","2009-01-01","2009-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2009/2010_Q1","2009-04-01","2009-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2009/2010","2009-04-01","2010-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2009/2010_Q2","2009-07-01","2009-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2009/2010_Q3","2009-10-01","2009-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2009/2010_Q4","2010-01-01","2010-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2010/2011_Q1","2010-04-01","2010-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","4.00 Number","Percentage","2010/2011","2010-04-01","2011-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","3.00 Number","Percentage","2010/2011_Q2","2010-07-01","2010-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2010/2011_Q3","2010-10-01","2010-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2010/2011_Q4","2011-01-01","2011-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2011/2012_Q1","2011-04-01","2011-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","6.00 Number","Percentage","2011/2012","2011-04-01","2012-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2011/2012_Q2","2011-07-01","2011-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","4.00 Number","Percentage","2011/2012_Q3","2011-10-01","2011-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2011/2012_Q4","2012-01-01","2012-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","7.00 Number","Percentage","2012/2013","2012-04-01","2013-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2012/2013_Q1","2012-04-01","2012-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2012/2013_Q2","2012-07-01","2012-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2012/2013_Q3","2012-10-01","2012-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2012/2013_Q4","2013-01-01","2013-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","4.00 Number","Percentage","2013/2014","2013-04-01","2014-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","3.00 Number","Percentage","2013/2014_Q1","2013-04-01","2013-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2013/2014_Q2","2013-07-01","2013-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2013/2014_Q3","2013-10-01","2013-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2013/2014_Q4","2014-01-01","2014-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2014/2015_Q1","2014-04-01","2014-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","3.00 Number","Percentage","2014/2015","2014-04-01","2015-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2014/2015_Q2","2014-07-01","2014-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2014/2015_Q3","2014-10-01","2014-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2014/2015_Q4","2015-01-01","2015-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2015/2016","2015-04-01","2016-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2015/2016_Q1","2015-04-01","2015-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2015/2016_Q2","2015-07-01","2015-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2015/2016_Q3","2015-10-01","2015-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2015/2016_Q4","2016-01-01","2016-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","12.00 Number","Percentage","2016/2017","2016-04-01","2017-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","4.00 Number","Percentage","2016/2017_Q1","2016-04-01","2016-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2016/2017_Q2","2016-07-01","2016-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","4.00 Number","Percentage","2016/2017_Q3","2016-10-01","2016-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2016/2017_Q4","2017-01-01","2017-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","2.00 Number","Percentage","2017/2018","2017-04-01","2018-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2017/2018_Q1","2017-04-01","2017-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2017/2018_Q2","2017-07-01","2017-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","1.00 Number","Percentage","2017/2018_Q3","2017-10-01","2017-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2017/2018_Q4","2018-01-01","2018-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","0.00 Number","Percentage","2018/2019_Q1","2018-04-01","2018-06-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","NC","Percentage","2018/2019","2018-04-01","2019-03-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","NC","Percentage","2018/2019_Q2","2018-07-01","2018-09-30","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","NC","Percentage","2018/2019_Q3","2018-10-01","2018-12-31","Quarterly"
"HOU281a","Households accepted as being homeless and in priority need - Domestic Violence","NC","Percentage","2018/2019_Q4","2019-01-01","2019-03-31","Quarterly"
