"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"MARAC01","Number of MARAC cases Discussed","7.00 Number","Number","2008/2009_Apr","2008-04-01","2008-04-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","15.00 Number","Number","2008/2009_Q1","2008-04-01","2008-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","80.00 Number","Number","2008/2009","2008-04-01","2009-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","5.00 Number","Number","2008/2009_May","2008-05-01","2008-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","3.00 Number","Number","2008/2009_Jun","2008-06-01","2008-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","16.00 Number","Number","2008/2009_Jul","2008-07-01","2008-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","29.00 Number","Number","2008/2009_Q2","2008-07-01","2008-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","9.00 Number","Number","2008/2009_Aug","2008-08-01","2008-08-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","4.00 Number","Number","2008/2009_Sep","2008-09-01","2008-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2008/2009_Oct","2008-10-01","2008-10-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","21.00 Number","Number","2008/2009_Q3","2008-10-01","2008-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","7.00 Number","Number","2008/2009_Nov","2008-11-01","2008-11-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","4.00 Number","Number","2008/2009_Dec","2008-12-01","2008-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","4.00 Number","Number","2008/2009_Jan","2009-01-01","2009-01-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","15.00 Number","Number","2008/2009_Q4","2009-01-01","2009-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","5.00 Number","Number","2008/2009_Feb","2009-02-01","2009-02-28","Monthly"
"MARAC01","Number of MARAC cases Discussed","6.00 Number","Number","2008/2009_Mar","2009-03-01","2009-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","11.00 Number","Number","2009/2010_Apr","2009-04-01","2009-04-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","28.00 Number","Number","2009/2010_Q1","2009-04-01","2009-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","102.00 Number","Number","2009/2010","2009-04-01","2010-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","11.00 Number","Number","2009/2010_May","2009-05-01","2009-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","6.00 Number","Number","2009/2010_Jun","2009-06-01","2009-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","6.00 Number","Number","2009/2010_Jul","2009-07-01","2009-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","17.00 Number","Number","2009/2010_Q2","2009-07-01","2009-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","6.00 Number","Number","2009/2010_Aug","2009-08-01","2009-08-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","5.00 Number","Number","2009/2010_Sep","2009-09-01","2009-09-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","5.00 Number","Number","2009/2010_Oct","2009-10-01","2009-10-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","26.00 Number","Number","2009/2010_Q3","2009-10-01","2009-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","9.00 Number","Number","2009/2010_Nov","2009-11-01","2009-11-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","12.00 Number","Number","2009/2010_Dec","2009-12-01","2009-12-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","14.00 Number","Number","2009/2010_Jan","2010-01-01","2010-01-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","31.00 Number","Number","2009/2010_Q4","2010-01-01","2010-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","8.00 Number","Number","2009/2010_Feb","2010-02-01","2010-02-28","Monthly"
"MARAC01","Number of MARAC cases Discussed","9.00 Number","Number","2009/2010_Mar","2010-03-01","2010-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","11.00 Number","Number","2010/2011_Apr","2010-04-01","2010-04-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","30.00 Number","Number","2010/2011_Q1","2010-04-01","2010-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","148.00 Number","Number","2010/2011","2010-04-01","2011-03-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2010/2011_May","2010-05-01","2010-05-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","9.00 Number","Number","2010/2011_Jun","2010-06-01","2010-06-30","Monthly"
"MARAC01","Number of MARAC cases Discussed","10.00 Number","Number","2010/2011_Jul","2010-07-01","2010-07-31","Monthly"
"MARAC01","Number of MARAC cases Discussed","28.00 Number","Number","2010/2011_Q2","2010-07-01","2010-09-30","Monthly"
